modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
RENAULT SANDERO GT LINE HI-FLEX 1.6 16V 4P,RENAULT,2011,93,1.6,Flex,Manual,Hidráulica,Preto,4,2,1,1,1,1,1,1,1,1,0,0,22000
FORD FIESTA CLASS 1.6 8V 98CV 5P,FORD,1996,210000,1.6,Gasolina,Manual,Hidráulica,Verde,4,0,1,1,1,1,0,0,1,0,0,0,7300
HYUNDAI HB20S COMFORT PLUS 1.0 TB FLEX 12V MEC.,HYUNDAI,2014,98000,1,Flex,Manual,Elétrica,Prata,4,6,1,1,1,1,1,1,1,1,0,0,37990
VW - VOLKSWAGEN VOYAGE I MOTION 1.6 MI TOTAL FLEX 8V,VW - VOLKSWAGEN,2010,150000,1.6,Flex,Manual,Hidráulica,Preto,4,0,1,1,1,1,1,1,1,1,0,0,24700
HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P MEC.,HONDA,2010,90000,1.4,Flex,Manual,Elétrica,Prata,4,1,1,1,1,0,1,1,1,1,1,0,29000
FIAT DUCATO MINIBUS 2.8 DIESEL,FIAT,2007,418000,2,Diesel,Manual,Hidráulica,Branco,4,1,0,0,0,1,1,0,0,0,0,0,43000
VW - VOLKSWAGEN POLO 1.6 E-FLEX 8V 5P,VW - VOLKSWAGEN,2003,180000,1.6,Gasolina,Manual,Elétrica,Prata,4,3,1,1,1,1,1,1,1,0,0,0,12000
VW - VOLKSWAGEN VOYAGE 1.0/1.0 CITY MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2012,199000,1,Flex,Manual,Hidráulica,Branco,4,0,1,1,1,1,1,0,1,0,0,0,23000
JEEP COMPASS LONGITUDE 2.0 4X4 DIES. 16V AUT.,JEEP,2018,34499,2,Diesel,Automático,Hidráulica,Branco,4,8,1,1,1,1,1,1,1,1,1,0,125000
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2019,11000,1.4,Flex,Automático,Elétrica,Branco,4,5,1,1,1,0,1,1,1,1,1,0,61000
GM - CHEVROLET HATCH LT 1.0 12V TB FLEX 5P MEC,GM - CHEVROLET,2018,55000,1,Flex,Manual,Hidráulica,Cinza,4,3,1,1,1,1,1,1,1,0,0,0,44500
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,2011,100000,2,Flex,Automático,Hidráulica,Outra,4,0,1,1,1,1,1,1,1,1,0,0,50000
VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2007,0,1,Gasolina,Manual,Mecânica,Cinza,4,9,1,1,1,0,1,0,1,1,0,0,15200
FORD RANGER XLT 3.2 20V 4X4 CD DIESEL AUT.,FORD,2018,50000,3,Diesel,Automático,Elétrica,Cinza,4,2,1,1,1,0,1,1,1,1,1,0,150000
FIAT IDEA ESSENCE 1.6 FLEX 16V 5P,FIAT,2013,100000,1.6,Flex,Manual,Hidráulica,Prata,4,7,1,1,1,1,1,1,1,0,0,0,29000
RENAULT CLIO CAMPUS HI-FLEX 1.0 16V 5P,RENAULT,2012,102000,1,Flex,Manual,Hidráulica,Prata,4,6,1,1,0,1,1,0,0,0,0,0,16500
TOYOTA COROLLA ALTIS 2.0 FLEX 16V AUT.,TOYOTA,2016,46000,2,Flex,Automático,Hidráulica,Prata,4,5,1,1,1,1,1,1,1,0,1,0,75000
NISSAN TIIDA S 1.8/1.8 FLEX 16V MEC.,NISSAN,2012,195924,1.8,Gás Natural,Manual,Hidráulica,Preto,4,9,1,1,1,1,1,0,1,0,0,0,18000
FORD RANGER STORM 3.2 20V 4X4 CD DIESEL AUT,FORD,2020,3600,3,Diesel,Automático,Elétrica,Azul,4,0,1,1,1,0,1,1,1,1,1,0,175000
RENAULT DUSTER DYNAMIQUE 2.0 HI-FLEX 16V AUT.,RENAULT,2014,0,2,Gasolina,Automático,Hidráulica,Prata,4,4,1,1,1,1,1,1,1,1,1,0,42000
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2014,123569,2,Flex,Automático,Elétrica,Prata,4,6,1,1,1,1,1,1,1,1,0,0,48000
TOYOTA YARIS XS SEDAN 1.5 FLEX 16V 4P AUT.,TOYOTA,2019,52,1.5,Flex,Automático,Hidráulica,Branco,4,7,1,1,1,1,1,1,1,1,1,0,68500
GM - CHEVROLET COBALT LT 1.4 8V FLEXPOWER/ECONOFLEX 4P,GM - CHEVROLET,2015,93225,1.4,Flex,Manual,Hidráulica,Cinza,4,8,1,1,1,1,1,1,1,1,0,0,32000
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2012,100000,1.4,Flex,Manual,Hidráulica,Prata,4,4,1,1,1,1,1,0,1,1,0,0,20900
PEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5P,PEUGEOT,2014,76400,1.5,Flex,Manual,Assistida,Branco,4,4,1,1,1,0,1,0,1,0,0,0,32500
FORD FIESTA SEL 1.6 16V FLEX AUT. 5P,FORD,2016,72430,1.6,Flex,Automático,Assistida,Branco,4,0,1,1,1,1,1,1,1,1,1,0,44000
FORD FIESTA SE 1.0 8V FLEX 5P,FORD,2011,102000,1,Flex,Manual,Hidráulica,Preto,4,3,1,1,1,1,1,0,1,1,0,0,20000
GM - CHEVROLET MONTANA 1.4 8V CONQUEST ECONOFLEX 2P,GM - CHEVROLET,2008,94,1.4,Flex,Manual,Hidráulica,Preto,2,1,0,1,1,1,0,0,1,0,0,0,20000
VW - VOLKSWAGEN SAVEIRO CROSS 1.6 T.FLEX 16V CD,VW - VOLKSWAGEN,2020,0,1.6,Flex,Manual,Hidráulica,Prata,2,2,1,1,1,0,1,1,1,1,1,0,79990
MITSUBISHI PAJERO TR4 2.0/ 2.0 FLEX 16V 4X4 AUT.,MITSUBISHI,2003,260000,2,Gasolina,Automático,Hidráulica,Cinza,4,9,1,1,1,1,1,1,1,1,0,0,24900
TOYOTA ETIOS XLS SEDAN 1.5 FLEX 16V 4P AUT.,TOYOTA,2019,17000,1.5,Flex,Automático,Hidráulica,Prata,4,0,1,1,1,1,1,1,1,1,1,0,61000
FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P,FIAT,2012,150,1,Flex,Manual,Hidráulica,Branco,4,6,1,1,1,1,0,0,1,0,0,0,22000
FORD RANGER XLT 3.2 20V 4X4 CD DIESEL AUT.,FORD,2017,102000,3,Diesel,Automático,Elétrica,Branco,4,0,1,1,1,1,1,1,1,1,1,0,136900
VW - VOLKSWAGEN POLO SEDAN 1.6 MI 101CV 8V 4P,VW - VOLKSWAGEN,2004,170000,1.6,Gasolina,Manual,Hidráulica,Prata,4,1,1,1,1,1,0,0,1,0,0,0,15500
CITROEN C4 PALLAS GLX 2.0/2.0 FLEX 16V MEC.,CITROEN,2010,0,2,Flex,Manual,Elétrica,Preto,4,5,1,1,1,1,1,1,1,1,0,0,17500
FORD FIESTA GL 1.0 3P,FORD,2001,12,1,Gasolina,Manual,Mecânica,Azul,2,0,0,0,1,0,1,0,0,1,0,0,8500
FIAT PALIO CELEBRATION 1.0 FIRE FLEX 8V 4P,FIAT,2011,146,1,Flex,Manual,Hidráulica,Vermelho,4,1,1,1,1,1,1,1,1,1,1,0,19000
VW - VOLKSWAGEN GOL COMFORTLINE 1.6 T. FLEX 8V 5P,VW - VOLKSWAGEN,2015,70000,1.6,Flex,Manual,Hidráulica,Branco,4,0,1,1,1,1,1,1,1,1,0,0,38000
FIAT PALIO WAY CELEBRATION 1.0 F. FLEX 8V 5P,FIAT,2015,91000,1,Flex,Manual,Hidráulica,Vermelho,4,5,1,1,1,1,1,1,1,0,0,0,28800
HYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P,HYUNDAI,2016,88563,1.6,Flex,Manual,Hidráulica,Branco,4,1,1,1,1,1,1,1,1,1,0,0,46000
JEEP COMPASS LIMITED 2.0 4X4 DIESEL 16V AUT.,JEEP,2019,28000,2,Diesel,Automático,Elétrica,Branco,4,0,1,1,1,0,1,1,1,1,1,0,153000
CITROEN C3 TENDANCE 1.5 FLEX 8V 5P MEC.,CITROEN,2015,42000,1.5,Flex,Manual,Elétrica,Branco,4,9,1,1,1,0,1,1,1,1,0,0,35900
KIA MOTORS SOUL 1.6/ 1.6 16V FLEX MEC.,KIA MOTORS,2013,61000,1.6,Flex,Manual,Elétrica,Preto,4,6,1,1,1,0,1,1,0,1,1,0,37000
TOYOTA ETIOS PLATINUM SED. 1.5 FLEX 16V 4P AUT.,TOYOTA,2018,70000,1.5,Flex,Automático,Elétrica,Prata,4,8,1,1,1,0,1,1,1,1,1,0,54990
FORD FOCUS TITA/TITA PLUS 2.0 FLEX 5P AUT.,FORD,2016,85000,2,Flex,Automático,Elétrica,Preto,4,0,1,1,1,1,1,1,1,1,1,0,53000
VW - VOLKSWAGEN SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW - VOLKSWAGEN,2017,85,1.6,Flex,Manual,Hidráulica,Prata,2,5,1,1,1,0,1,1,1,0,1,0,44500
FIAT GRAND SIENA ESSEN.SUBLIME 1.6 FLEX,FIAT,2015,70800,1.6,Flex,Manual,Hidráulica,Preto,4,1,1,1,1,1,1,1,1,1,0,0,36500
GM - CHEVROLET,GM - CHEVROLET,2015,48550,1,Flex,Manual,Hidráulica,Branco,4,2,1,1,1,1,1,1,1,0,0,0,34900
FORD FOCUS 1.6 S/SE/SE PLUS FLEX 8V/16V 5P,FORD,2015,80,2,Flex,Automático,Elétrica,Branco,4,7,1,1,1,1,1,1,1,1,0,0,47000
RENAULT SANDERO EXPRESSION HI-POWER 1.6 8V 5P,RENAULT,2019,32857,1.6,Flex,Manual,Elétrica,Prata,4,0,1,1,1,1,1,1,1,1,1,0,42990
MITSUBISHI L200 TRITON SPORT GLS 2.4 CD DIESEL AUT.,MITSUBISHI,2021,0,2,Diesel,Automático,Elétrica,Cinza,4,2,1,1,1,0,1,1,1,0,0,0,202999
GM - CHEVROLET CLASSIC ADVANTAGE 1.0 VHC FLEXPOWER 4P,GM - CHEVROLET,2015,81,1,Flex,Manual,Hidráulica,Cinza,4,7,1,1,1,1,1,1,1,0,0,0,28500
HONDA CIVIC SED. LXL/ LXL SE 1.8 FLEX 16V AUT.,HONDA,2008,120000,1.8,Flex,Automático,Hidráulica,Preto,4,9,1,1,1,1,1,1,1,1,1,0,30000
TOYOTA COROLLA GLI 1.8 FLEX 16V AUT.,TOYOTA,2015,81000,1.8,Gasolina,Automático,Elétrica,Prata,4,0,1,1,1,0,1,1,1,1,1,0,59000
FIAT SIENA ATTRACTIVE 1.4 FIRE FLEX 8V 4P,FIAT,2009,150000,1.4,Flex,Manual,Hidráulica,Cinza,4,7,1,1,1,1,1,0,1,0,0,0,23000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,2016,112000,2,Flex,Automático,Elétrica,Prata,4,6,1,1,1,0,1,1,1,0,1,0,72000
GM - CHEVROLET AGILE LT 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,2013,1,1.4,Flex,Manual,Hidráulica,Preto,4,3,1,1,1,0,1,1,1,0,0,0,23500
SSANGYONG KORANDO 2.0 16V T.DIESEL AWD AUT.,SSANGYONG,2012,0,2,Diesel,Automático,Hidráulica,Prata,4,7,1,1,1,1,1,1,1,1,1,0,40000
GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,GM - CHEVROLET,2015,1,1,Flex,Manual,Hidráulica,Branco,4,3,1,1,1,0,1,1,1,0,0,0,26000
VW - VOLKSWAGEN SAVEIRO CROSS 1.6 MI TOTAL FLEX 8V CE,VW - VOLKSWAGEN,2014,79000,1.6,Flex,Manual,Hidráulica,Branco,2,3,1,1,1,1,1,1,1,1,0,0,49800
VW - VOLKSWAGEN GOL 1.6 MI/ POWER 1.6 MI 4P,VW - VOLKSWAGEN,2007,11000000,1.6,Gasolina,Manual,Hidráulica,Cinza,4,1,1,1,1,0,0,0,1,0,0,0,18000
FIAT PUNTO ESSENCE 1.6 FLEX 16V 5P,FIAT,2011,95000,1.6,Flex,Manual,Hidráulica,Cinza,4,3,1,1,1,1,1,1,1,0,0,0,24500
VW - VOLKSWAGEN JETTA COMFORTLINE 2.0 T.FLEX 8V 4P TIPT.,VW - VOLKSWAGEN,2012,118200,2,Flex,Automático,Hidráulica,Branco,4,9,1,1,1,1,1,1,1,0,0,0,47990
VW - VOLKSWAGEN VIRTUS 1.6 MSI FLEX 16V 5P MEC.,VW - VOLKSWAGEN,2018,43696,1.6,Flex,Manual,Elétrica,Outra,4,3,1,1,1,1,1,1,1,1,0,0,62000
HONDA CIVIC SEDAN LXR 2.0 FLEXONE 16V AUT. 4P,HONDA,2015,78,2,Flex,Automático,Hidráulica,Prata,4,2,1,1,1,1,1,1,1,0,1,0,63500
FORD KA 1.0 8V/1.0 8V ST FLEX 3P,FORD,2012,90152,1,Flex,Manual,Hidráulica,Branco,2,1,1,1,1,1,1,0,1,1,0,0,18500
FORD KA,FORD,2010,125,1,Flex,Manual,Mecânica,Preto,2,1,0,1,0,0,0,0,1,0,0,0,12000
GM - CHEVROLET ASTRA 2.0 8V/ CD 2.0 8V HATCHBACK 5P MEC,GM - CHEVROLET,2003,150000,2,Gasolina,Manual,Hidráulica,Preto,4,5,1,1,1,1,0,1,1,1,0,0,6500
GM - CHEVROLET COBALT LT 1.4 8V FLEXPOWER/ECONOFLEX 4P,GM - CHEVROLET,2014,46000,1.4,Flex,Manual,Hidráulica,Prata,4,5,1,1,1,1,1,1,1,0,0,0,35000
FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P,FIAT,2008,150000,1,Flex,Manual,Hidráulica,Azul,4,9,1,1,1,1,1,0,1,1,0,0,14000
NISSAN SENTRA S 2.0/ 2.0 FLEX FUEL 16V MEC.,NISSAN,2014,0,2,Flex,Manual,Hidráulica,Preto,4,1,1,1,1,1,1,1,1,1,0,0,39900
FORD RANGER XLS 2.2 4X4 CD DIESEL MEC.,FORD,2017,59000,2,Diesel,Manual,Elétrica,Branco,4,0,1,1,1,1,1,1,1,1,0,0,117000
KIA MOTORS CERATO 1.6 16V AUT.,KIA MOTORS,2016,47000,1.6,Flex,Automático,Elétrica,Prata,4,8,1,1,1,1,1,1,1,1,1,0,63000
VW - VOLKSWAGEN GOL 1000 MI 2P / 1000I,VW - VOLKSWAGEN,1997,80000000,1,Gasolina,Manual,Mecânica,Verde,2,6,1,0,0,0,1,0,0,0,0,0,3500
HONDA CIVIC SEDAN LXR 2.0 FLEXONE 16V AUT. 4P,HONDA,2015,74000,2,Flex,Automático,Elétrica,Cinza,4,7,1,1,1,1,1,1,1,1,1,0,60000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,2014,90000,2,Flex,Automático,Elétrica,Prata,4,5,1,1,1,1,1,1,1,0,1,0,57900
FIAT STRADA ADVENTURE1.8/ 1.8 LOCKER FLEX CD,FIAT,2016,50000,1.8,Flex,Semi-Automático,Hidráulica,Vermelho,4,0,1,1,1,1,1,1,1,1,0,0,58000
FIAT PALIO WAY 1.0 FIRE FLEX 8V 5P,FIAT,2016,60000,1,Flex,Manual,Hidráulica,Vermelho,4,8,1,1,1,1,0,1,0,0,0,0,29000
FIAT UNO VIVACE/RUA 1.0 EVO FIRE FLEX 8V 5P,FIAT,2014,118000,1,Flex,Manual,Hidráulica,Prata,4,3,1,1,1,1,1,1,1,0,0,0,25000
FORD KA 1.0 8V/1.0 8V ST FLEX 3P,FORD,1998,63000,1,Flex,Manual,Mecânica,Azul,2,1,0,1,0,0,1,0,0,0,0,0,6000
AUDI A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,AUDI,2015,57000,1.4,Flex,Automático,Elétrica,Branco,4,3,1,1,1,1,1,1,1,1,1,0,89990
RENAULT LOGAN EXPRES./EXP. UP HI-FLEX 1.0 16V 4P,RENAULT,2015,110000,1,Flex,Manual,Hidráulica,Prata,4,1,1,1,1,1,1,1,1,1,0,0,35000
FORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,FORD,2008,170000,1,Flex,Manual,Hidráulica,Preto,4,0,1,1,1,1,1,0,1,0,0,0,17000
KIA MOTORS SPORTAGE LX 2.0 16V/ 2.0 16V FLEX AUT.,KIA MOTORS,2019,21600,2,Flex,Automático,Elétrica,Prata,4,5,1,1,1,1,1,1,1,1,0,0,123990
FORD FUSION SEL 2.3 16V 162CV AUT.,FORD,2007,159000,2,Gasolina,Automático,Hidráulica,Prata,4,7,1,1,1,1,1,1,1,1,0,0,18500
VW - VOLKSWAGEN GOL 1.0 PLUS 8V 2P,VW - VOLKSWAGEN,2001,1000000000,1,Gasolina,Manual,Mecânica,Branco,4,0,0,0,1,0,0,0,0,0,0,0,800000
KIA MOTORS CERATO 1.6 16V FLEX AUT.,KIA MOTORS,2016,59150,1.6,Flex,Automático,Elétrica,Cinza,4,9,1,1,1,0,1,1,1,1,0,0,53500
GM - CHEVROLET CELTA SPIRIT 1.0 MPFI VHC 8V 5P,GM - CHEVROLET,2011,57000,1,Flex,Manual,Hidráulica,Prata,4,3,1,1,1,1,1,0,1,0,0,0,20000
FIAT DOBLO ELX 1.4 MPI FIRE FLEX 8V 4P,FIAT,2011,0,1.4,Flex,Manual,Hidráulica,Cinza,4,0,1,1,1,0,0,0,0,0,0,0,30000
VW - VOLKSWAGEN VOYAGE TREND 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2012,80000,1.6,Flex,Manual,Hidráulica,Outra,4,8,1,1,1,1,0,0,1,1,0,0,29300
FORD FIESTA GL 1.0 3P,FORD,2001,152000,1,Gasolina,Manual,Hidráulica,Preto,4,0,0,0,0,1,1,0,0,0,1,0,11500
GM - CHEVROLET CORSA SED CLAS.SUPER 1.6MPFI VHC 8V AUT,GM - CHEVROLET,1997,0,1.6,Gasolina,Manual,Hidráulica,Azul,4,9,1,0,1,1,0,0,0,0,0,0,10000
VW - VOLKSWAGEN POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,2018,53000,1,Flex,Automático,Elétrica,Vermelho,4,8,1,1,1,1,1,1,1,1,1,0,62900
VW - VOLKSWAGEN FOX TRENDLINE 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,2013,79000,1.6,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,0,1,0,0,0,32000
RENAULT SANDERO STEPWAY HI-FLEX 1.6 16V 5P AUT.,RENAULT,2013,70000,1.6,Flex,Automático,Hidráulica,Prata,4,2,1,1,1,1,1,1,1,1,0,0,32000
GM - CHEVROLET CORSA HATCHBACK 1.8 MPFI 8V 102CV 5P,GM - CHEVROLET,2003,18000000,1.8,Gasolina,Manual,Hidráulica,Prata,4,9,0,0,0,1,0,0,0,0,0,0,8000
GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,2010,0,1.4,Flex,Manual,Hidráulica,Preto,4,0,1,1,1,1,1,1,1,0,0,0,14000
MITSUBISHI PAJERO IO SE 1.8 16V MEC.,MITSUBISHI,2000,244239,1.8,Gasolina,Manual,Hidráulica,Vermelho,4,0,1,1,1,1,1,1,1,0,0,0,18500
VW - VOLKSWAGEN FOX PRIME/HIGLI. 1.6 TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,2013,113810,1.6,Flex,Manual,Hidráulica,Cinza,4,5,1,1,1,1,1,1,1,1,0,0,32000
GM - CHEVROLET CORSA SED.WIND 1.0/MILLENIUM/CLASSIC VHC,GM - CHEVROLET,1999,1,1,Gasolina,Manual,Hidráulica,Verde,4,7,1,0,1,1,0,0,0,0,0,0,10900
FORD FUSION TITANIUM 2.0 GTDI ECO. FWD AUT.,FORD,2014,140000,2,Gasolina,Automático,Elétrica,Branco,4,0,1,1,1,1,1,1,1,1,1,0,66800
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.,TOYOTA,2017,88727,2,Diesel,Automático,Hidráulica,Branco,4,0,1,1,1,1,1,1,1,0,0,0,174800
GM - CHEVROLET CRUZE SPORT LT 1.4 16V TB FLEX 5P AUT.,GM - CHEVROLET,2017,38000,1.4,Flex,Automático,Hidráulica,Vermelho,4,6,1,1,1,1,1,1,1,1,1,0,72000
GM - CHEVROLET COBALT LT 1.4 8V FLEXPOWER/ECONOFLEX 4P,GM - CHEVROLET,2012,120000,1.4,Gasolina,Manual,Hidráulica,Preto,4,0,1,1,1,1,1,1,1,0,0,0,28000
VW - VOLKSWAGEN GOLF SPORTLINE 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,2012,131125,1.6,Flex,Manual,Hidráulica,Branco,4,6,1,1,1,1,1,1,1,1,0,0,43990
VW - VOLKSWAGEN GOL SPECIAL/ SPECIAL XTREME 1.0 MI 2P,VW - VOLKSWAGEN,2000,251834,1,Gasolina,Manual,Mecânica,Azul,2,1,0,0,0,0,1,0,0,0,0,0,13200
RENAULT MEGANE GRAND TOUR EXPRES.HI-FLEX 1.6 16V,RENAULT,2009,91275,1.6,Flex,Manual,Elétrica,Prata,4,6,1,1,1,0,1,1,1,0,0,0,14000
BUGGY BUGGY 1.6/ TST/ RS 1.6 4-LUG.,BUGGY,1985,0,1.6,Gasolina,Manual,Hidráulica,Vermelho,2,5,0,0,0,1,0,0,0,0,0,0,29000
FIAT SIENA ATTRACTIVE 1.0 FIRE FLEX 8V 4P,FIAT,2010,143000,1,Flex,Manual,Hidráulica,Cinza,4,2,1,1,1,1,1,0,1,0,0,0,22000
MITSUBISHI L200 TRITON HPE 3.2 CD TB INT.DIESEL AUT,MITSUBISHI,2013,221000,3,Diesel,Automático,Hidráulica,Preto,4,8,0,1,1,1,1,1,1,1,1,0,76500
GM - CHEVROLET COBALT LTZ 1.4 8V FLEXPOWER/ECONOFLEX 4P,GM - CHEVROLET,2012,100000,1.4,Flex,Manual,Hidráulica,Preto,4,5,1,1,1,1,1,1,1,0,0,0,28000
